Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.29     0.00   329158     0.00     0.00  Light* std::__uninitialized_copy<false>::__uninit_copy<__gnu_cxx::__normal_iterator<Light const*, std::vector<Light, std::allocator<Light> > >, Light*>(__gnu_cxx::__normal_iterator<Light const*, std::vector<Light, std::allocator<Light> > >, __gnu_cxx::__normal_iterator<Light const*, std::vector<Light, std::allocator<Light> > >, Light*)
  0.00      0.29     0.00   329158     0.00     0.00  Light* std::__addressof<Light>(Light&)
  0.00      0.29     0.00   329158     0.00     0.00  Light* std::uninitialized_copy<__gnu_cxx::__normal_iterator<Light const*, std::vector<Light, std::allocator<Light> > >, Light*>(__gnu_cxx::__normal_iterator<Light const*, std::vector<Light, std::allocator<Light> > >, __gnu_cxx::__normal_iterator<Light const*, std::vector<Light, std::allocator<Light> > >, Light*)
  0.00      0.29     0.00   329158     0.00     0.00  Light* std::__uninitialized_copy_a<__gnu_cxx::__normal_iterator<Light const*, std::vector<Light, std::allocator<Light> > >, Light*, Light>(__gnu_cxx::__normal_iterator<Light const*, std::vector<Light, std::allocator<Light> > >, __gnu_cxx::__normal_iterator<Light const*, std::vector<Light, std::allocator<Light> > >, Light*, std::allocator<Light>&)
  0.00      0.29     0.00   329157     0.00     0.00  Ray::Ray(Vector, Vector, float)
  0.00      0.29     0.00   329157     0.00     0.00  Sphere::getNormal(Vector)
  0.00      0.29     0.00   329157     0.00     0.00  RayTracer::fullScale(Vector, Vector, Vector, Primitive*, int)
  0.00      0.29     0.00   329157     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<Light>, Light>::_S_select_on_copy(std::allocator<Light> const&)
  0.00      0.29     0.00   329157     0.00     0.00  std::allocator<Light>::allocator(std::allocator<Light> const&)
  0.00      0.29     0.00   329157     0.00     0.00  std::allocator<Light>::allocator(std::allocator<Light> const&)
  0.00      0.29     0.00   329157     0.00     0.00  std::allocator<Light>::~allocator()
  0.00      0.29     0.00   329157     0.00     0.00  std::_Vector_base<Light, std::allocator<Light> >::_Vector_impl::_Vector_impl(std::allocator<Light> const&)
  0.00      0.29     0.00   329157     0.00     0.00  std::_Vector_base<Light, std::allocator<Light> >::_M_create_storage(unsigned int)
  0.00      0.29     0.00   329157     0.00     0.00  std::_Vector_base<Light, std::allocator<Light> >::_Vector_base(unsigned int, std::allocator<Light> const&)
  0.00      0.29     0.00   329157     0.00     0.00  std::allocator_traits<std::allocator<Light> >::select_on_container_copy_construction(std::allocator<Light> const&)
  0.00      0.29     0.00   329157     0.00     0.00  std::vector<Light, std::allocator<Light> >::vector(std::vector<Light, std::allocator<Light> > const&)
  0.00      0.29     0.00   329157     0.00     0.00  std::vector<Light, std::allocator<Light> >::operator[](unsigned int)
  0.00      0.29     0.00   327781     0.00     0.00  __gnu_cxx::__promote_2<double, float, __gnu_cxx::__promote<double, std::__is_integer<double>::__value>::__type, __gnu_cxx::__promote<float, std::__is_integer<float>::__value>::__type>::__type std::pow<double, float>(double, float)
  0.00      0.29     0.00   307200     0.00     0.00  Color::Color(float, float, float)
  0.00      0.29     0.00   307200     0.00     0.00  Color::operator*(float const&) const
  0.00      0.29     0.00        7     0.00     0.00  std::_Vector_base<Primitive*, std::allocator<Primitive*> >::_M_get_Tp_allocator()
  0.00      0.29     0.00        7     0.00     0.00  Primitive** std::__niter_base<Primitive**>(Primitive**)
  0.00      0.29     0.00        4     0.00     0.00  __gnu_cxx::new_allocator<Primitive*>::max_size() const
  0.00      0.29     0.00        4     0.00     0.00  __gnu_cxx::__normal_iterator<Light*, std::vector<Light, std::allocator<Light> > >::base() const
  0.00      0.29     0.00        4     0.00     0.00  __gnu_cxx::__normal_iterator<Primitive**, std::vector<Primitive*, std::allocator<Primitive*> > >::base() const
  0.00      0.29     0.00        4     0.00     0.00  std::move_iterator<Primitive**>::base() const
  0.00      0.29     0.00        4     0.00     0.00  void std::_Destroy_aux<true>::__destroy<Primitive**>(Primitive**, Primitive**)
  0.00      0.29     0.00        4     0.00     0.00  std::_Vector_base<Primitive*, std::allocator<Primitive*> >::_M_deallocate(Primitive**, unsigned int)
  0.00      0.29     0.00        4     0.00     0.00  std::move_iterator<Primitive**>::move_iterator(Primitive**)
  0.00      0.29     0.00        4     0.00     0.00  decltype (__miter_base(({parm#1}.base)())) std::__miter_base<Primitive**>(std::move_iterator<Primitive**>)
  0.00      0.29     0.00        4     0.00     0.00  Primitive** std::__miter_base<Primitive**>(Primitive**)
  0.00      0.29     0.00        4     0.00     0.00  Light const* std::__make_move_if_noexcept_iterator<Light, Light const*>(Light*)
  0.00      0.29     0.00        4     0.00     0.00  std::move_iterator<Primitive**> std::__make_move_if_noexcept_iterator<Primitive*, std::move_iterator<Primitive**> >(Primitive**)
  0.00      0.29     0.00        4     0.00     0.00  void std::_Destroy<Primitive**>(Primitive**, Primitive**)
  0.00      0.29     0.00        4     0.00     0.00  void std::_Destroy<Primitive**, Primitive*>(Primitive**, Primitive**, std::allocator<Primitive*>&)
  0.00      0.29     0.00        3     0.00     0.00  Primitive* const& std::forward<Primitive* const&>(std::remove_reference<Primitive* const&>::type&)
  0.00      0.29     0.00        2     0.00     0.00  Properties::Properties(Properties const&)
  0.00      0.29     0.00        2     0.00     0.00  Properties::Properties()
  0.00      0.29     0.00        2     0.00     0.00  Scene::Scene()
  0.00      0.29     0.00        2     0.00     0.00  Scene::~Scene()
  0.00      0.29     0.00        2     0.00     0.00  Screen::Screen()
  0.00      0.29     0.00        2     0.00     0.00  Observer::Observer()
  0.00      0.29     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<Light>::new_allocator()
  0.00      0.29     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<Primitive*>::deallocate(Primitive**, unsigned int)
  0.00      0.29     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<Primitive*>::allocate(unsigned int, void const*)
  0.00      0.29     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<Primitive*>::new_allocator()
  0.00      0.29     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<Primitive*>::~new_allocator()
  0.00      0.29     0.00        2     0.00     0.00  __gnu_cxx::__normal_iterator<Light*, std::vector<Light, std::allocator<Light> > >::__normal_iterator(Light* const&)
  0.00      0.29     0.00        2     0.00     0.00  __gnu_cxx::__normal_iterator<Primitive* const*, std::vector<Primitive*, std::allocator<Primitive*> > >::__normal_iterator(Primitive* const* const&)
  0.00      0.29     0.00        2     0.00     0.00  __gnu_cxx::__normal_iterator<Primitive**, std::vector<Primitive*, std::allocator<Primitive*> > >::__normal_iterator(Primitive** const&)
  0.00      0.29     0.00        2     0.00     0.00  Vector::cross(Vector) const
  0.00      0.29     0.00        2     0.00     0.00  __gnu_cxx::__normal_iterator<Primitive* const*, std::vector<Primitive*, std::allocator<Primitive*> > >::base() const
